ticket_type,order_ref,shirt_size,school,checkin_first,checkin_last
Sponsor Representative,XGI6,Female S       ,,1477419329,1478917011
California Hacker,KFYT,,,1477460202,1478765358
Sponsor Representative,1L2U,Male M         ,,1477353545,1478917871
Sponsor Representative,NLEI,Female S       ,,1477365804,1477365826
Sponsor Representative,NLEI,Male M         ,,1477365804,1477365849
Sponsor Representative,NLEI,Male M         ,,1477365804,1478920266
Sponsor Representative,KYOB,,,1478202412,1478202833
California Hacker,RNV4,Male L         ,Miramar College,1477502431,1478925907
Berkeley Hacker,CQ5R,Female S       ,"University of California, Berkeley",1477507167,1478925195
Volunteer,6GQD,Female M       ,,1478591206,1478991885
Berkeley Hacker,TNOL,,"University of California, Berkeley",1477546337,1478924037
Berkeley Hacker [Waitlist],DXBM,,"University of California, Berkeley",1477547486,1477547486
California Hacker,LX1Y,,,1477601363,1477601363
Sponsor Representative,WG1V,Male L         ,,1477386279,1477386324
California Hacker,EQTN,,,1478038311,1478038311
Sponsor Representative,1DGO,Male M         ,,1477386983,1479003200
Sponsor Representative,ELWW,Male M         ,,1478110646,1478917916
Sponsor Representative,DKGI,Male M         ,,1477410006,1478918426
Volunteer,DKQP,Male L         ,,1478465788,1478922975
Sponsor Representative,Y3BK,Female S       ,,1477318472,1478918651
Sponsor Representative,Y3BK,Male M         ,,1477318472,1478918681
Sponsor Representative,Y3BK,Male M         ,,1477318472,1478918816
Sponsor Representative,Y3BK,Male M         ,,1477318472,1478918832
Sponsor Representative,Y3BK,,,1477318472,1477318987
Sponsor Representative,Y3BK,Male L         ,,1477318472,1478918806
Sponsor Representative,KQT0,Male L         ,,1477337017,1478915886
Sponsor Representative,YODP,Male L         ,,1477348089,1478916921
Sponsor Representative,LRUY,,,1477348340,1478856258
Sponsor Representative,LRUY,,,1477348340,1477348340
Sponsor Representative,LRUY,,,1477348340,1477348340
Sponsor Representative,UAZ0,,,1477348521,1477348521
Sponsor Representative,UAZ0,,,1477348521,1477348521
Sponsor Representative,LK40,Female XS      ,,1477348978,1478918982
Sponsor Representative,LK40,Female S       ,,1477348978,1477351944
Berkeley Hacker,IUPR,,"University of California, Berkeley",1477544848,1477544848
California Hacker,U8RQ,,,1477759004,1477759028
Sponsor Representative,Q2EU,,,1478743556,1478745073
Berkeley Hacker,KTNO,Male M         ,"University of California, Berkeley",1478556894,1478930499
Berkeley Hacker,JYFL,Male M         ,"University of California, Berkeley",1478556908,1478556961
Berkeley Hacker,ZXQS,,"University of California, Berkeley",1478556991,1478556991
Berkeley Hacker,BKEK,Male S         ,"University of California, Berkeley",1478557046,1478927022
Berkeley Hacker,92AO,Female M       ,"University of California, Berkeley",1478557632,1478924784
Berkeley Hacker,BL7A,Male XL        ,"University of California, Berkeley",1478557725,1478558494
Berkeley Hacker [Waitlist],QLSI,Female XS      ,"University of California, Berkeley",1478557766,1478932566
Berkeley Hacker [Waitlist],HKXF,Female S       ,"University of California, Berkeley",1478557994,1478932365
Sponsor Representative,X7OX,Male L         ,,1478558226,1478970579
Sponsor Representative,N1SQ,Male L         ,,1478558259,1478558286
Berkeley Hacker,29HA,Male M         ,"University of California, Berkeley",1478558514,1478558862
Berkeley Hacker,YISH,Male M         ,"University of California, Berkeley",1478558786,1478924772
Berkeley Hacker,RYWE,Female M       ,"University of California, Berkeley",1478558842,1478924793
Sponsor Representative,1IJT,Female L       ,,1478558868,1478915740
Volunteer,ZBMW,Male L         ,,1478559463,1478923000
Sponsor Representative,JDSB,,,1478559742,1478559993
Sponsor Representative,JDSB,Male S         ,,1478559742,1478560550
Sponsor Representative,JDSB,Male L         ,,1478559742,1478562804
Sponsor Representative,JDSB,Male L         ,,1478559742,1478927808
Sponsor Representative,JDSB,,,1478559742,1478916251
Out of State Hacker [Reimbursement],LMKG,Male L         ,YU,1478560393,1478997763
Berkeley Hacker,EBQT,Female S       ,"University of California, Berkeley",1478560621,1478938818
Berkeley Hacker,6C0W,Female S       ,"University of California, Berkeley",1478560978,1478561087
Berkeley Hacker,BTQY,Female S       ,"University of California, Berkeley",1478561124,1478925133
Berkeley Hacker [Waitlist],QIUO,,"University of California, Berkeley",1478562132,1478562132
Volunteer,1AMM,Male M         ,,1478465904,1478908662
General Admit,GW8G,,,1478923236,1478923272
California Hacker,2ATD,Male XL        ,"University of California, Santa Cruz",1477459969,1478996888
California Hacker,QIYA,Male XL        ,"University of California, Merced",1477459981,1477695360
California Hacker [Waitlist],SKDK,Female S       ,University of Southern California ,1477459982,1477460038
California Hacker [Waitlist],QKYN,Female S       ,University of Southern California,1477459986,1478922542
California Hacker [Waitlist],CNJH,Male M         ,San Jose State University,1477459991,1478923742
California Hacker,IRXR,Male M         ,University of Southern California,1477459995,1478919068
California Hacker [Waitlist],ZKGY,Male S         ,"University of California, San Diego",1477459995,1478927532
California Hacker [Waitlist],0RSD,Male M         ,"University of California, Davis",1477460003,1477460075
California Hacker [Waitlist],FG3B,Male L         ,"University of California, Los Angeles",1477460006,1477460087
California Hacker [Waitlist],3SDK,Male M         ,"University of California, Los Angeles",1477460007,1477460042
California Hacker [Waitlist],IK3I,Male M         ,"University of California, San Diego",1477460007,1477460186
California Hacker [Waitlist],1MMQ,Male M         ,University of Southern California,1477460010,1478922422
California Hacker [Waitlist],HWUR,Male M         ,"University of California, Santa Cruz",1477460014,1478923777
California Hacker,5ABD,Male S         ,"University of California, Santa Cruz",1477460015,1478923550
California Hacker,KITU,Female M       ,De Anza College,1477460015,1478921700
California Hacker [Waitlist],WCP2,Male L         ,"University of California, Merced",1477460016,1477460129
California Hacker,408A,Male L         ,"University of California, Los Angeles",1477460016,1478927329
California Hacker [Waitlist],X7CD,Male S         ,"University of California, Santa Cruz",1477460019,1478923295
California Hacker [Waitlist],JH1L,Male M         ,"University of California, Santa Barbara",1477460024,1477460107
California Hacker,STHD,Male M         ,San Jose State University,1477460027,1478924713
California Hacker [Waitlist],XMPL,Male M         ,University of Southern California,1477460028,1478922367
California Hacker [Waitlist],NVQN,Male XL        ,San Jose State University,1477460028,1477460140
California Hacker,4RTB,Female S       ,"University of California, Santa Cruz",1477460031,1477460200
California Hacker [Waitlist],AYMM,Male M         ,"University of California, Santa Cruz",1477460039,1477460746
California Hacker,A7EO,Male L         ,"University of California, San Diego",1477460039,1478303338
California Hacker [Waitlist],TBQX,Male M         ,"University of California, Los Angeles",1477460040,1477460143
California Hacker [Waitlist],QBGY,Male M         ,"University of California, Santa Barbara",1477460043,1477460263
California Hacker [Waitlist],K9YI,,,1477460044,1477460061
California Hacker,OKTN,Male M         ,Fullerton College,1477460046,1477460186
California Hacker [Waitlist],TLOK,Male S         ,"University of California, Los Angeles",1477460046,1477460518
California Hacker [Waitlist],9RKB,Female XS      ,"University of California, Santa Cruz",1477460048,1477460192
California Hacker [Waitlist],DK0O,Male L         ,"University of California, Irvine",1477460049,1477460155
California Hacker [Waitlist],ICGT,Male S         ,"University of California, - Davis",1477460050,1478921629
California Hacker [Waitlist],ZZX7,Male S         ,Stanford University,1477460054,1477460167
